Hai inserito il numero: 1
102 [ , 0, 0, 0, 0, 0, 694, 2696, 5012, 7253, 9211, 10694, 11547, 11759, 11234, 10118, 8455, 6408, 4150, 1932, 253, 0, 0, 0, 0]  energia max 11759 alle ore 12
103 [ , 0, 0, 0, 0, 0, 337, 1449, 4725, 6920, 5477, 10213, 7318, 2976, 992, 6210, 8121, 3337, 660, 106, 40, 0, 0, 0, 0]  energia max 10213 alle ore 10
104 [ , 0, 0, 0, 0, 0, 569, 2486, 4766, 6989, 7503, 10301, 11182, 11438, 10952, 9873, 8230, 6165, 2996, 1456, 133, 0, 0, 0, 0]  energia max 11438 alle ore 12
105 [ , 0, 0, 0, 0, 0, 484, 2333, 4579, 6788, 8702, 10152, 11016, 11230, 10831, 9741, 8120, 6103, 3863, 1708, 145, 0, 0, 0, 0]  energia max 11230 alle ore 12
106 [ , 0, 0, 0, 0, 0, 227, 2164, 2553, 6469, 8363, 9781, 10663, 10904, 10514, 9456, 7859, 4887, 2695, 1542, 92, 0, 0, 0, 0]  energia max 10904 alle ore 12
107 [ , 0, 0, 0, 0, 0, 378, 2182, 4443, 3297, 4526, 5496, 11068, 11292, 10833, 9736, 7269, 5984, 3710, 1538, 0, 0, 0, 0, 0]  energia max 11292 alle ore 12
108 [ , 0, 0, 0, 0, 0, 363, 1592, 3676, 5571, 8544, 10049, 10943, 11163, 10612, 9499, 7855, 5821, 3603, 1470, 0, 0, 0, 0, 0]  energia max 11163 alle ore 12
109 [ , 0, 0, 0, 0, 0, 324, 2122, 4390, 6599, 8530, 9948, 10788, 10982, 10418, 9269, 4973, 559, 183, 79, 0, 0, 0, 0, 0]  energia max 10982 alle ore 12
110 [ , 0, 0, 0, 0, 0, 256, 1998, 4217, 6445, 8377, 9880, 10769, 7005, 10398, 9285, 7635, 5584, 3344, 1228, 0, 0, 0, 0, 0]  energia max 10769 alle ore 11
111 [ , 0, 0, 0, 0, 0, 272, 2088, 4385, 6664, 8623, 10035, 10913, 11130, 10619, 9450, 7752, 5639, 3347, 701, 0, 0, 0, 0, 0]  energia max 11130 alle ore 12
112 [ , 0, 0, 0, 0, 0, 231, 2016, 4354, 6655, 8624, 9989, 9219, 9575, 10521, 9338, 7624, 3317, 172, 67, 0, 0, 0, 0, 0]  energia max 10521 alle ore 13
113 [ , 0, 0, 0, 0, 0, 68, 794, 898, 3253, 5232, 10147, 9660, 11266, 10840, 9690, 7964, 5807, 3451, 1198, 0, 0, 0, 0, 0]  energia max 11266 alle ore 12
114 [ , 0, 0, 0, 0, 0, 150, 1901, 4218, 6516, 8525, 10060, 10942, 11113, 10594, 9422, 7683, 5543, 3214, 1042, 0, 0, 0, 0, 0]  energia max 11113 alle ore 12
115 [ , 0, 0, 0, 0, 0, 81, 1674, 3913, 6161, 8131, 9674, 10578, 10791, 10267, 9095, 7369, 5250, 2969, 880, 0, 0, 0, 0, 0]  energia max 10791 alle ore 12
116 [ , 0, 0, 0, 0, 0, 0, 1708, 3991, 6240, 8197, 9677, 10550, 10732, 10185, 9032, 7328, 5222, 2942, 837, 0, 0, 0, 0, 0]  energia max 10732 alle ore 12
